Year,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site20,Site21,Site22,Site23,Site24,Site25,Site26,Site27,Site28,Site29,Site30,Site31,Site32,Site33,Site34,Site35,Site36,Site37,Site38,Site39,Site40,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site48,Site49,Site50,Site51,Site52,Site53,Site54,Site55,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63,Site64,Site65,Site66,Site67,Site68,Site69,Site70,Site71,Site72,Site73,Site74,Site75,Site76,Site77,Site78,Site79,Site80,Site81,Site82,Site83,Site84,Site85,Site86,Site87,Site88,Site89,Site90,Site91,Site92,Site93,Site94,Site95,Site96,Site97,Site98,Site99,Site100,Site101,Site102,Site103,Site104,Site105,Site106,Site107,Site108,Site109,Site110,Site111,Site112,Site113,Site114,Site115,Site116,Site117,Site118,Site119,Site120,Site121,Site122,Site123,Site124,Site125,Site126,Site127,Site128,Site129,Site130,Site131,Site132,Site133,Site134,Site135,Site136,Site137,Site138,Site139,Site140,Site141,Site142,Site143,Site144,Site145,Site146,Site147,Site148,Site149,Site150,Site151,Site152,Site153,Site154,Site155,Site156,Site157,Site158,Site159,Site160,Site161,Site162,Site163,Site164,Site165,Site166,Site167,Site168,Site169,Site170,Site171,Site172,Site173,Site174,Site175,Site176,Site177,Site178,Site179,Site180,Site181,Site182,Site183,Site184,Site185,Site186,Site187,Site188,Site189,Site190,Site191,Site192,Site193,Site194,Site195,Site196,Site197,Site198,Site199,Site200,Site201,Site202,Site203,Site204,Site205,Site206,Site207,Site208
1988,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174,32028174
1989,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096,28220096
1990,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736,27584736
1991,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879,35780879
1992,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076,31206076
1993,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629,52670629
1994,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103,30459103
1995,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733,60696733
1996,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736,48811736
1997,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898,58824898
1998,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329,39389329
1999,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479,39501479
2000,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316,33510316
2001,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528,29537528
2002,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107,16940107
